StkID,Year,Catch,Spn
11,2008,55.18972075,340
11,2009,45.19725147,889
11,2010,10115.82974,10011
11,2011,5178.263799,7192
19,1952,55801,25794
19,1953,97156,21030
19,1954,233980,28800
19,1955,43427,5595
19,1956,15421,2586
19,1957,20313,3793
19,1958,131225,14701
19,1959,176892,27868
19,1960,22438,17210
19,1961,54914,42773
19,1962,10357,8162
19,1963,22654,22258
19,1964,3744,2202
19,1965,43718,15034
19,1966,93340,32646
19,1967,93062,20548
19,1968,13395,5379
19,1969,52102,14959
19,1970,50528,12666
19,1971,63907,3790
19,1972,1789,1346
19,1973,20713,3060
19,1974,93170,16920
19,1975,17484,5987
19,1976,27936,5130
19,1977,9312,2246
19,1978,37468,19717
19,1979,103345,45706
19,1980,11994,5092
19,1981,11805,3193
19,1982,25458,9189
19,1983,19602,4239
19,1984,12176,1267
19,1985,4580,5097
19,1986,25231,7265
19,1987,8324,5228
19,1988,3718,1544
19,1989,13459,2934
19,1990,2712,4515
19,1991,29707,15000
19,1992,1999,313
19,1993,71549,3258
19,1994,62658,9515
19,1995,17413,16760
19,1996,3282.152731,15379
19,1997,1065.415649,1418
19,1998,3151.089549,4496
19,1999,6836.268316,8577
19,2000,832.4071524,4343
19,2001,17246.96477,15309
19,2002,11523.85192,41542
19,2003,26567.79646,8259
19,2004,23048.54456,2106
19,2005,32479.38867,388605
19,2006,71230.53865,168259
19,2007,14938.42183,128295
19,2008,6705.602878,6890
19,2009,6748.141629,307210
19,2010,326726.8287,761668
19,2011,284822.9561,805596
20,2000,2034.6,4903.6
20,2001,306.2,1378.4
20,2002,19813.8,22293.8
20,2003,13925.74837,6199.6
20,2004,10583.2332,264.6
20,2005,952.0914148,703.2
20,2006,47179.7506,21437.4
20,2007,1347.003909,1982.2
20,2008,547.8785368,247.4
20,2009,126.3224186,1027.4
20,2010,90043.80838,110429.8
20,2011,3791.794762,3291.2
21,2000,83.24071524,434.3
21,2001,1724.696477,1530.9
21,2002,1152.385192,4154.2
21,2003,2656.779646,825.9
21,2004,2304.854456,210.6
21,2005,3247.938867,38860.5
21,2006,7123.053865,16825.9
21,2007,1493.842183,12829.5
21,2008,670.5602878,689
21,2009,674.8141629,30721
21,2010,32672.68287,76166.8
21,2011,28482.29561,80559.6
